,preprocessed_Tokens,Scores
377,cogsci,-291
378,;,-291
379,community,-400
380,companies,40
381,completed,140
382,completion,100
383,compo-,-340
384,components,-420
385,components,-420
386,comprising,-291
387,confirmation,-1934
388,contact,-220
389,:,-220
390,content,-340
391,control,40
392,:,-1712
393,co-ordinates,-1712
394,cotton,40
395,cpd,-2068
396,cpd,-1712
397,cpe,-291
398,crtb,-44
399,cs,-300
400,cs,140
401,cs-1,-100
402,cs-2,-100
403,csaos,-220
404,csc,-300
405,cscan,-44
406,csit,-60
407,csp,100
408,cspd,-220
409,csr,-100
410,csr,-100
411,css,140
412,css,-100
413,cyclotron,-420
414,czernuszka,-268
415,d,-268
416,d,-291
417,darlington,-460
418,dbdm,-734
419,mmiengineeringcom,-340
420,dc,-60
421,dean,-340
422,dec,140
423,decc,-1712
424,decc,-220
425,degenaar,-60
426,del,0
427,denso,-3132
428,deputy,-100
429,described,-1532
430,detailed,140
431,details,-100
432,dic,-20
433,digital,-460
434,director,-460
435,:,-100
436,:,-220
437,dixon,-1712
438,djambazov,-500
439,dk-as-5sgxea7n,-60
440,dmsm,140
441,doctoral,-420
442,:,-734
443,domestic,-3266
444,doncasters,-420
445,dr,-340
446,drc,-2068
447,dstl,-420
448,dstl,-220
449,dtag,-1712
450,dtc,-220
451,dubai,-500
452,due,-420
453,dunn,-300
454,ket,-220
455,e,-291
456,e,-1712
457,eg,-60
458,eg,-2068
459,eg,-220
460,eg,140
461,eg,-340
462,eg,-3132
463,eg,40
464,eg,-268
465,eg,-244
466,eg,-734
467,eg,-460
468,eg,-400
469,eg,0
470,eg,1669
471,eg,-300
472,eg,-20
473,eg,-60
474,eg,-60
475,eg,-2088
476,eg,100
477,eg,60
478,eg,-60
479,eg,-300
480,eg,-300
481,eg,-220
482,eg,-44
483,eg,1669
484,eg,-100
485,eg,-2088
486,rlacuk,-340
487,eads,-1932
488,eames,-1712
489,ecit,-60
490,economic,140
491,ecs,-460
492,ecs,-460
493,ed,-220
494,;,-340
495,edf,-20
496,edinburgh,-1934
497,edwards,-1712
498,eece,-220
499,eece,-220
500,eecs,-291
501,eecs,-291
502,eecs=26,-291
503,eecs=4,-291
504,eecs=68,-291
505,82m,-291
506,eee,100
507,eee,-1932
508,eeps,40
509,eg,140
510,eg,-500
511,eg,-291
512,eg,-1712
513,ehl,-340
514,electrical,-44
515,electrical,-400
516,e-motes,-60
517,end,-500
518,energy,-220
519,engd,-400
520,engd,-400
521,439k,60
522,ep/c52330x,-220
523,ep/g032483,-340
524,ep/i01764x/1,0
525,ep/i038543/1,-100
526,ep/i500928,-340
527,;,60
528,332k,60
529,ep/l010607/1,-100
530,ep/l010607/1,-100
531,epic,-60
532,epsrc,-100
533,epsrc,-220
534,epsrc,0
535,equivalent,0
536,eri,0
537,esf,-300
538,esf,-300
539,especially,-420
540,ets,-400
541,euspen,-300
542,euspen,-300
543,example,-268
544,:,-100
545,excluding,-1712
546,expert,-1712
547,f,-291
548,fab,-1712
549,facilitated,-340
550,fap7,-20
551,fdi,-60
552,fds,140
553,ferryman,-244
554,figure,0
555,finalist,-300
556,finalist,-300
557,flat,-60
558,follow,-244
559,food,60
560,footfall,-734
561,for,-2068
562,for,-420
563,for,-44
564,for,60
565,ford,-220
566,formed,-400
567,former,-400
568,formerly,-3132
569,formerly,-100
570,formerly,40
571,fpri,-60
572,fpse,-460
