,preprocessed_Tokens,Scores
6671,but,-60
6672,but,-1712
6673,but,-100
6674,bute,-340
6675,bute,-400
6676,bute,-400
6677,with,-60
6678,by,-2068
6679,by,-1932
6680,by,-220
6681,by,-220
6682,by,-420
6683,by,140
6684,by,140
6685,by,140
6686,by,-500
6687,by,-340
6688,by,-3132
6689,by,-100
6690,by,40
6691,by,-268
6692,by,-44
6693,by,-244
6694,by,-3266
6695,by,-220
6696,by,-220
6697,by,-734
6698,by,-460
6699,by,-460
6700,by,-400
6701,by,-140
6702,by,-1934
6703,by,0
6704,by,0
6705,by,1669
6706,by,1669
6707,by,-300
6708,by,-60
6709,by,-20
6710,by,-291
6711,by,-1712
6712,by,-100
6713,by,-60
6714,by,-60
6715,by,-2088
6716,by,100
6717,by,60
6718,by,-60
6719,by,-300
6720,by,-300
6721,by,-1532
6722,by,-500
6723,by,-244
6724,:,-420
6725,:,-268
6726,:,-734
6727,:,-460
6728,:,-20
6729,:,-291
6730,by-catch,-1712
6731,c,-11660
6732,c,-291
6733,c,-291
6734,c,-2068
6735,c,-1932
6736,c,-220
6737,c,-220
6738,c,-420
6739,c,140
6740,c,140
6741,c,-500
6742,c,-340
6743,c,-3132
6744,c,-100
6745,c,40
6746,c,-268
6747,c,-44
6748,c,-244
6749,c,-3266
6750,c,-220
6751,c,-734
6752,c,-460
6753,c,-400
6754,c,-140
6755,c,-1934
6756,c,0
6757,c,1669
6758,c,-300
6759,c,-60
6760,c,-20
6761,c,-291
6762,c,-1712
6763,c,-100
6764,c,-60
6765,c,-2088
6766,c,100
6767,c,60
6768,c,-60
6769,c,-300
6770,c,-300
6771,c,-1532
6772,c4112,40
6773,c4605,40
6774,ca-,-340
6775,ca,-734
6776,cabinet,-60
6777,cable,140
6778,cable,40
6779,cable,-460
6780,cable,-60
6781,cable,-60
6782,cables,-460
6783,cables,-460
6784,cabling,-220
6785,cabot,-300
6786,caching,-340
6787,cacr,0
6788,cad,-60
6789,caed,-60
6790,cafmao,-244
6791,calculations,-500
6792,calibre,-60
6793,california,-460
6794,call,140
6795,call,-340
6796,call,-340
6797,called,-44
6798,calls,-244
6799,calls,1669
6800,cambridge,-1932
6801,cambridge,-220
6802,cambridge,140
6803,cambridge,140
6804,cambridge,-60
6805,cambridge,-20
6806,cambridge,-100
6807,cambridge,-300
6808,cambridge,-300
6809,cambridge,140
6810,cambridge,-60
6811,cambridge,-340
6812,cambridge,-244
6813,cambridge,-20
6814,cambridge,-1932
6815,cambridge/dow,140
6816,cambridge-mit,140
6817,came,140
6818,came,-44
6819,came,-300
6820,:,140
6821,camgan,140
6822,camgan,140
6823,chu,140
6824,campo,-300
6825,campo,-300
6826,campo,-300
6827,campo,-300
6828,campus,140
6829,campus,-140
6830,campus,0
6831,campus,100
6832,campus,40
6833,campus,-220
6834,campus,-140
6835,concept,-291
6836,camses,140
6837,camvac,-300
6838,camvac,-300
6839,can,-2068
6840,can,-1932
6841,can,-220
6842,can,-420
6843,can,140
6844,can,-100
6845,can,40
6846,can,-268
6847,can,-3266
6848,can,-734
6849,can,-460
6850,can,-1934
6851,can,0
6852,can,-291
6853,can,-1712
6854,can,-60
6855,can,-2088
6856,can,60
6857,can,-60
6858,can,-1532
6859,canada,-60
6860,canada,-340
6861,canada,-60
6862,canal-bank,-400
6863,canals,-400
6864,cancer,-220
6865,cancer,140
6866,cancer,-340
6867,cancer,-734
6868,cancer,-400
6869,cancer,-300
6870,cancer,-2088
6871,cancer,140
6872,cancer,-44
6873,cancer,-140
6874,cancers,140
6875,candidate,-44
6876,candidates,140
6877,chu,-100
6878,cannon,-220
6879,not,-2088
6880,canopen,-60
6881,cap-,-340
6882,cap,100
6883,capabilities,-420
6884,capabilities,-140
6885,capabilities,1669
6886,capabilities,-20
6887,capabilities,-20
6888,capabilities,-100
6889,capabilities,-2088
6890,capabilities,60
6891,capabilities,-300
6892,capabilities,-300
6893,capabilities,-1932
6894,capabilities,-460
6895,capabilities,-20
6896,capabilities,-340
6897,capabilities,-460
6898,capabilities,-2088
6899,:,-300
6900,:,-300
6901,capability,-420
6902,capability,-420
6903,capability,140
6904,capability,-100
6905,capability,-268
6906,capability,-44
6907,capability,-220
6908,capability,-734
6909,capability,-460
6910,capability,-1934
6911,capability,-60
6912,capability,-20
6913,capability,60
6914,capability,-60
6915,capability,-300
6916,capability,-300
6917,capability,-420
6918,capability,-734
6919,capable,140
6920,capable,-2088
6921,capacitors,0
6922,capacitors,-734
6923,capacity,-1932
6924,capacity,-420
6925,capacity,-734
6926,capacity,-460
6927,capacity,-291
6928,capacity,60
6929,capacity,-300
6930,capacity,-300
6931,capacity,-1532
6932,capacity,-220
6933,capacity,-220
6934,capacity,60
6935,caparo,-2088
6936,capital,140
6937,capital,0
6938,capital,1669
6939,capital,-60
6940,capital,-60
6941,capital,-291
6942,capital,-100
6943,capital,-60
6944,capital,-1532
6945,;,-3266
6946,capitalisation,100
6947,capitalise,-2088
6948,capitalised,-140
6949,capitalises,-2088
6950,capitalising,-3266
6951,capitalist,-300
6952,capitalists,-300
6953,capitalists,-300
6954,capitalists,-3266
6955,capture,-460
6956,capture,0
6957,car,-220
6958,carbene,140
6959,carbocyanine,140
6960,carbon,-220
6961,carbon,140
6962,carbon,140
6963,carbon,-340
6964,carbon,-244
6965,carbon,-3266
6966,carbon,-400
6967,carbon,-400
6968,carbon,-140
6969,carbon,-300
6970,carbon-free,-340
6971,cardiodigital,-60
6972,;,-60
6973,cardiology,0
6974,cardiorespiratory,-1532
6975,care,-220
6976,care,-734
6977,care,0
6978,care,0
6979,care,-60
6980,care,60
6981,care,-300
6982,care,-300
6983,care,-100
6984,career,-220
6985,career,140
6986,career,-3132
6987,career,-3266
6988,career,-3266
6989,career,-460
6990,career,0
6991,career,-60
6992,career,-291
6993,career,-1532
6994,careers,-220
6995,careers,-420
6996,careers,-140
6997,careful,-220
6998,carers,-3266
6999,carers,-244
7000,carlo,-3132
7001,carnegie,-1934
7002,carnegie,-60
7003,carried,-220
7004,carried,-420
7005,carried,-340
7006,carried,-100
7007,carried,-2088
7008,carried,-1532
7009,carries,-1934
7010,carry,-100
7011,carry,-44
7012,carry,-100
7013,carry,-2088
7014,carrying,40
7015,cartezia,-2068
7016,cascade,-340
7017,cascade,-220
7018,cascade,-220
7019,cascaded,-300
7020,case,-2068
7021,case,-1932
7022,case,-1932
7023,case,-220
7024,case,-220
7025,case,-220
7026,case,-420
7027,case,-420
7028,case,140
7029,case,140
7030,case,140
7031,case,-500
7032,case,-500
7033,case,-340
7034,case,-340
7035,case,-340
7036,case,-3132
7037,case,-3132
7038,case,-100
7039,case,40
7040,case,40
7041,case,-268
7042,case,-268
7043,case,-44
7044,case,-44
7045,case,-244
7046,case,-244
7047,case,-3266
7048,case,-3266
7049,case,-220
7050,case,-220
7051,case,-734
7052,case,-460
7053,case,-460
7054,case,-400
7055,case,-400
7056,case,-140
7057,case,-140
7058,case,-1934
7059,case,-1934
7060,case,0
7061,case,1669
7062,case,1669
7063,case,-300
7064,case,-300
7065,case,-300
7066,case,-60
7067,case,-20
7068,case,-20
7069,case,-291
7070,case,-291
7071,case,-1712
7072,case,-1712
7073,case,-100
7074,case,-60
7075,case,-60
7076,case,-60
7077,case,-2088
7078,case,-2088
7079,case,-2088
7080,case,100
7081,case,100
7082,case,100
7083,case,60
7084,case,60
7085,case,-60
7086,case,-60
7087,case,-300
7088,case,-300
7089,case,-300
7090,case,-300
7091,case,-1532
7092,case,-1532
7093,case,-340
7094,case,-300
7095,case,-1532
7096,case,140
7097,case/phd,-400
7098,case-by-case,-460
7099,cases,-1932
7100,cases,-420
7101,cases,-100
7102,cases,-244
7103,cases,-220
7104,cases,-140
7105,cases,-300
7106,cases,-60
7107,cases,-291
7108,cases,-2088
7109,cases,-60
7110,cases,-1532
7111,cases,-291
7112,cases,-420
7113,cases,-3132
7114,cases,-1532
7115,case-studies,-100
7116,cash,-500
7117,cash,-140
7118,cast,-220
7119,cast,-3132
7120,cast,-220
7121,;,-340
7122,caster-sheffield,-340
7123,casting,-420
7124,casting,-500
7125,casting,-420
7126,casts,-220
7127,catalysed,-734
7128,catalysed,-1532
7129,catalysis,140
7130,catalyst,-300
7131,catalyst,-20
7132,catalyst,-20
7133,catalyst,-291
7134,catalysts,-500
7135,catalysts,-300
7136,catalysts,-20
7137,catalytic,-420
7138,catalytic,-500
7139,catapult,-734
7140,catapult,-140
7141,catapult,-1934
7142,catapult,-140
7143,catapult,-1932
7144,catapult,-400
7145,catapult,-140
7146,catapults,-140
7147,catapults,-140
7148,catapults,-60
7149,categories,-500
7150,:,-460
7151,:,100
7152,categorised,-291
7153,category,40
7154,category,-291
7155,caterpillar,-60
7156,caterpillar,0
7157,causal,-291
7158,cause,140
7159,cause,-460
7160,caused,140
7161,caused,-3266
7162,cavallaro,-291
7163,ccfe,-268
7164,ccfe,-268
7165,cclrc,-340
7166,ccsr,-140
7167,c-dots,140
7168,cdt,-1932
7169,cdt,-400
7170,cdt,-291
7171,cdt,-291
7172,cdts,-400
7173,ce,140
7174,ce,140
7175,;,140
7176,ceed,-1934
7177,celebrate,-2088
7178,celebrating,40
7179,celebrating,-3266
7180,celebrating,-3266
7181,cell,-2068
7182,cell,-500
7183,cell,-340
7184,cell,-268
7185,cell,-3266
7186,cell,-734
7187,cell,-734
7188,cell,-300
7189,cell,60
7190,cell,-60
7191,cell,-300
7192,cellmark,-268
7193,cellpath,60
7194,cells,-500
7195,cells,-3266
7196,cells,-300
7197,cells,-2088
7198,cells,-2088
7199,cells,60
7200,cells,-2088
7201,cells,-220
7202,cells,-3266
7203,cells,-20
7204,cells,-2088
7205,cells,-2088
7206,;,-500
7207,cellulose,-300
7208,cellulose,-60
7209,cement,-420
7210,cement,100
7211,cementing,-1532
7212,censis,-1934
7213,census,-220
7214,census,-400
7215,central,-1932
7216,central,-220
7217,central,-420
7218,central,140
7219,central,140
7220,central,-500
7221,central,-340
7222,central,40
7223,central,-268
7224,central,-220
7225,central,-460
7226,central,1669
7227,central,-60
7228,central,-60
7229,central,-100
7230,central,-60
7231,central,-60
7232,centralized,-1932
7233,centre,-1932
7234,centre,-1932
7235,centre,-220
7236,centre,-220
7237,centre,-420
7238,centre,140
7239,centre,140
7240,centre,140
7241,centre,-500
7242,centre,-3132
7243,centre,-100
7244,centre,-100
7245,centre,-44
7246,centre,-244
7247,centre,-3266
7248,centre,-220
7249,centre,-220
7250,centre,-734
7251,centre,-734
7252,centre,-460
7253,centre,-460
7254,centre,-400
7255,centre,-140
7256,centre,-140
7257,centre,-1934
7258,centre,-1934
7259,centre,0
7260,centre,-300
7261,centre,-60
7262,centre,-60
7263,centre,-20
7264,centre,-291
7265,centre,-291
7266,centre,-1712
7267,centre,-100
7268,centre,-100
7269,centre,-60
7270,centre,-2088
7271,centre,100
7272,centre,60
7273,centre,60
7274,centre,-300
7275,centre,-300
7276,centre,-300
7277,centre,-300
7278,centre,-1532
7279,centre,-100
7280,centre,-44
7281,centre,-734
7282,centre,140
7283,centre,-340
7284,centre,-100
7285,centre,-220
7286,centre,-734
7287,centre,-460
7288,centre,-1934
7289,centre,0
7290,centre,-291
7291,centre,100
7292,centre,-300
7293,centre,-300
7294,centre,-1532
7295,centre,-500
7296,centre,-44
7297,centre,-220
7298,centre,60
7299,;,-400
7300,centred,140
7301,centred,-340
7302,centrepiece,140
7303,centres,-220
7304,centres,-100
7305,centres,-100
7306,centres,-44
7307,centres,-244
7308,centres,-734
7309,centres,-460
7310,centres,-400
7311,centres,-400
7312,centres,0
7313,centres,-60
7314,centres,-291
7315,centres,-60
7316,centres,100
7317,centres,-60
7318,centres,40
7319,centres,-44
7320,centres,-220
7321,centres,-734
7322,centres,100
7323,centres,-220
7324,centres,-140
7325,centres,1669
7326,centres,-1532
7327,centres/projects,-400
7328,:,-220
7329,:,-44
7330,:,-220
7331,:,-400
7332,;,0
7333,centrehuo,-400
7334,ikc,-60
7335,in,-1712
7336,chu,-1532
7337,centrica,-460
7338,ceo,140
7339,ceo,-140
7340,ceo,0
7341,ceo,140
7342,ceramic,-734
7343,ceramic,0
7344,ceramic,1669
7345,ceramic,-2088
7346,ceramics,-300
7347,ceramics,-2088
7348,ceramics,-2088
7349,ceramics,60
7350,ceramics,-2088
7351,ceravision,-20
7352,ceremony,40
7353,ceres,-2088
7354,certain,-220
7355,certification,-100
7356,cetic,-300
7357,cetic,-300
7358,chu,140
7359,cfd,140
7360,cfel,140
7361,cfel,140
7362,cfhs,140
7363,chain,-220
7364,chain,-100
7365,chain,-60
7366,chain,-20
7367,;,-1712
7368,chain,-1712
7369,chains,-734
7370,chair,-220
7371,chair,-340
7372,chair,-100
7373,chair,40
7374,chair,-734
7375,chair,-400
7376,chair,-20
7377,chair,-1712
7378,chair,-2088
7379,chair,100
7380,chair,140
7381,chair,-2088
7382,chair,-300
7383,chair,-300
7384,chaired,40
7385,chaired,-734
7386,chaired,-400
7387,chaired,-1712
7388,chairing,-20
7389,chairman,-1712
7390,chairmanship,-420
7391,chairs,100
7392,chalk,-20
7393,challenge,-1932
7394,challenge,-420
7395,challenge,140
7396,challenge,40
7397,challenge,40
7398,challenge,-3266
7399,challenge,0
7400,challenge,-60
7401,challenge,-100
7402,challenge,-60
7403,challenge,-300
7404,challenge,-300
7405,challenge,-1532
7406,challenge-,-340
7407,challenge,-244
7408,challenge-led,-340
7409,challenges,-420
7410,challenges,140
7411,challenges,-100
7412,challenges,-3266
7413,challenges,-220
7414,challenges,-460
7415,challenges,-60
7416,challenges,-20
7417,challenges,-2088
7418,challenges,100
7419,challenges,-340
7420,challenges,40
7421,challenges,1669
7422,challenges,-60
7423,challenges,-2088
7424,:,-100
7425,;,-244
7426,challenging,-100
7427,challenging,60
7428,chamber,-1712
7429,chamber,-100
7430,chamber,-300
7431,chamber,-300
7432,champion,-220
7433,champion,-734
7434,champion,1669
7435,champion,-220
7436,champions,-220
7437,champions,-3266
7438,champions,1669
7439,to,-140
7440,chance,-244
7441,wo,-3266
7442,change,-420
7443,change,-3132
7444,change,-100
7445,change,40
7446,change,-44
7447,change,-244
7448,change,-734
7449,change,-1712
7450,change,-2088
7451,change,-60
7452,change,-220
7453,changed,140
7454,changed,-734
7455,changes,-291
7456,changing,-734
7457,changing,-100
7458,changing,-2088
7459,changing,100
7460,channel,-2068
7461,channel,140
7462,channel,-500
7463,channel,-140
7464,channel,-2088
7465,channelled,0
7466,channels,-2088
7467,channels,-1532
7468,channels,-20
7469,characterisation,-420
7470,characterisation,-100
7471,characterisation,-268
7472,characterisation,-268
7473,characterisation,-3266
7474,characterisation,-220
7475,characterisation,-1934
7476,characterisation,0
7477,characterisation,1669
7478,characterisation,-300
7479,characterisation,-1712
7480,characterisation,-60
7481,characterisation,-300
7482,characterisation,-300
7483,characterisation,-300
7484,characterisation,-300
7485,characterisation,-420
7486,characterisation,-100
7487,;,-60
7488,;,-2088
7489,characterise,-60
7490,characterised,40
7491,characterising,-500
7492,characteristics,-300
7493,characteristics,-300
7494,characteristics,-60
7495,characterization,-3266
7496,characterization,-340
7497,charge,-44
7498,chargers,-100
7499,charging,-220
7500,charging,-60
7501,charging,-100
7502,charging,-2088
7503,charging,-220
7504,charities,-220
7505,charities,-244
7506,charities,-734
7507,charities,-460
7508,charities,-244
7509,charity,-244
7510,charles,-500
7511,chartered,-44
7512,chartered,-220
7513,chatterbox,-291
7514,cheap,-100
7515,cheaper,140
7516,checkpoints,-2088
7517,cheltenham,-460
7518,chemical,140
7519,chemical,-3266
7520,chemical,-734
7521,chemical,100
7522,chemical,60
7523,chemical,-300
7524,chemical,-300
7525,chemical/pharmaceutical,-2088
7526,chemicals,140
7527,chemicals,140
7528,chemistry,140
7529,chemistry,140
7530,chemistry,140
7531,chemistry,-244
7532,chemistry,-1934
7533,chemistry,-60
7534,;,1669
7535,chu,140
7536,chemnet,140
7537,chen,-300
7538,chen,-300
7539,chesapeake,1669
7540,chevron,100
7541,chevron,-3132
7542,chic,0
7543,:,0
7544,chief,-340
7545,chief,-268
7546,chief,-2088
7547,chief,100
7548,childbirth,-44
7549,children,-220
7550,children,-220
7551,children,40
7552,children,-44
7553,children,-291
7554,children,0
7555,;,40
7556,china,-2068
7557,china,-300
7558,china,-20
7559,china,-220
7560,china,-140
7561,china,-60
7562,china,-20
7563,chinese,-1932
7564,chinese,-268
7565,chinese,-60
7566,chinuka,140
7567,chio,-460
7568,chip,-268
7569,chip,-3266
7570,chip,-460
7571,chip,-1712
7572,chip,-1712
7573,chips,-60
7574,chitin,60
7575,chitosan,60
7576,choose,140
7577,choosing,-2088
7578,chosen,40
7579,chosen,-420
7580,chromatic,-3132
7581,chromatography,-20
7582,chronic,-100
7583,chronos,-220
7584,chronos,-3132
7585,cial,-340
7586,ciena,-1932
7587,ciga,0
7588,cigre,40
7589,cigre,-460
7590,cigre,-460
7591,cigre,40
7592,cigre/cired,40
7593,cimcomp,0
7594,cims,-3132
7595,circle,-140
7596,circuit,-500
7597,circuit,-60
7598,circuit,-100
7599,circuits,100
7600,circuits,100
7601,circuits,-300
7602,circulation,-1934
7603,circulator,-60
7604,circumstances,-140
7605,cisco,-1932
7606,cisco,-340
7607,cisco,-60
7608,cisco,-1932
7609,cisco,-244
7610,cisco,-60
7611,chu,-1932
7612,citation,-400
7613,citations,-500
7614,citations,-734
7615,cite,-1712
7616,cited,140
7617,cited,-500
7618,citi,-60
7619,citi,-60
7620,cities,-1932
7621,cities,-400
7622,cities,-400
7623,cities,-1934
7624,cities,-60
7625,city,140
7626,city,-460
7627,city,-291
7628,city,-291
7629,civil,-220
7630,civil,-268
7631,civil,-20
7632,civil,-1532
7633,claims,-1934
7634,clarity,-400
7635,class,-220
7636,class,-268
7637,class,-60
7638,class,-20
7639,class-leading,-44
7640,classroom,-300
7641,classroom,-300
7642,clean,-420
7643,clean,140
7644,clean,-3266
7645,clean,0
7646,clean,-60
7647,clean,-500
7648,cleaner,140
7649,cleaners,-60
7650,cleanroom,-460
7651,clean-room,-300
7652,clean-room,-300
7653,clean-room,-2068
7654,cleanskies,-268
7655,clear,-2068
7656,clear,-220
7657,clear,140
7658,clear,140
7659,clear,-340
7660,clear,40
7661,clear,-460
7662,clear,1669
7663,clear,-100
7664,clearly,0
7665,chu,1669
7666,cleveland,-100
7667,client,-2088
7668,clients,-734
7669,clients,-20
7670,clients,60
7671,clients,-460
7672,clients,100
7673,climate,-244
7674,climate,-1712
7675,climate,-60
7676,climatic,-244
7677,clinic,140
7678,clinic,-734
7679,clinical,-2068
7680,clinical,-220
7681,clinical,140
7682,clinical,-340
7683,clinical,-244
7684,clinical,1669
7685,clinical,100
7686,clinical,100
7687,clinician,0
7688,clinicians,-220
7689,clinicians,-100
7690,clinicians,-44
7691,clinicians,-220
7692,clinicians,100
7693,clinicians,-220
7694,clinics,-2088
7695,clinics,100
7696,clinics,-400
7697,cloaking,-3266
7698,close,-220
7699,close,-420
7700,close,-340
7701,close,-3132
7702,close,-100
7703,close,40
7704,close,-268
7705,close,-460
7706,close,-400
7707,close,-140
7708,close,-1934
7709,close,0
7710,close,-300
7711,close,-60
7712,close,-60
7713,close,-60
7714,close,100
7715,close,-300
7716,close,-300
7717,close,-1532
7718,close,-60
7719,closely,-2068
7720,closely,-1932
7721,closely,-220
7722,closely,-420
7723,closely,140
7724,closely,-340
7725,closely,-3132
7726,closely,-100
7727,closely,40
7728,closely,-268
7729,closely,-44
7730,closely,-244
7731,closely,-460
7732,closely,-140
7733,closely,-60
7734,closely,-291
7735,closely,-100
7736,closely,-2088
7737,closely,100
7738,closer,-220
7739,closer,-44
7740,closer,-140
7741,closer,-140
7742,closes,-1712
7743,cloud,-60
7744,cloud,-291
7745,clouds,-220
7746,clrn,-220
7747,club,-140
7748,club,-2088
7749,club,-140
7750,club,0
7751,clubs,-100
7752,cluster,-300
7753,cluster,-300
7754,clusters,-734
7755,clusters,-460
7756,clusters,-300
7757,clusters,-60
7758,clusters,-60
7759,clusters,-300
7760,cmos,-3132
7761,cmos,-100
7762,cmr,-60
7763,cnmpa,-500
7764,:,-500
7765,cnn,-100
7766,cnt,140
7767,cnt,-300
7768,cnt-fibre-wired,140
7769,cnts,140
7770,co-,-100
7771,co-,-734
7772,co-,-400
7773,co2,140
7774,co2,-2088
7775,coal,-2088
7776,coat,-340
7777,coated,60
7778,coaters,-1934
7779,coating,-100
7780,coating,-1934
7781,coating,1669
7782,coating,60
7783,coating,-300
7784,coating,-300
7785,coatings,-100
7786,coatings,-140
7787,coatings,-1934
7788,coatings,0
7789,coatings,1669
7790,coatings,-20
7791,coatings,-60
7792,;,1669
7793,coatings,-1934
7794,coatings,-60
7795,coatings,-1934
7796,coatings,60
7797,co-authors,-100
7798,cobham,-460
7799,cobham,100
7800,co-create,-734
7801,co-created,-734
7802,co-creation,-734
7803,code,-44
7804,code,-734
7805,code,-291
7806,coded,-44
7807,co-define,-340
7808,co-defined,-340
7809,codes,-44
7810,codes,-20
7811,co-develop,-2088
7812,coding,-140
7813,coding,-291
7814,co-directors,-291
7815,co-funded,-1932
7816,co-funded,-734
7817,co-funded,-400
7818,co-funded,-300
7819,co-funded,-20
7820,co-funding,-2068
7821,cognate,-2068
7822,cognisance,-60
7823,cognitive,-2068
7824,cognitive,-220
7825,cognitive,-291
7826,cogsci,-291
7827,coherence,-220
7828,coherence,-734
7829,coherent,-244
7830,coherent,-400
7831,cohorts,-420
7832,cohorts,-1532
7833,co-investigators,-734
7834,coldmelt,-500
7835,colin,-100
7836,collabo-,-340
7837,collaborate,-2068
7838,collaborate,-420
7839,collaborate,-340
7840,collaborated,-734
7841,collaborates,-20
7842,collaborates,-100
7843,collaborating,-220
7844,collaborating,-3266
7845,collaborating,-220
7846,collaborating,-291
7847,collaborating,-1712
7848,collaboration,-2068
7849,collaboration,-1932
7850,collaboration,-220
7851,collaboration,-420
7852,collaboration,140
7853,collaboration,140
7854,collaboration,-500
7855,collaboration,-340
7856,collaboration,-100
7857,collaboration,40
7858,collaboration,-44
7859,collaboration,-244
7860,collaboration,-244
7861,collaboration,-3266
7862,collaboration,-734
7863,collaboration,-460
7864,collaboration,-460
7865,collaboration,-140
7866,collaboration,-140
7867,collaboration,0
7868,collaboration,1669
7869,collaboration,-300
7870,collaboration,-60
7871,collaboration,-20
7872,collaboration,-20
7873,collaboration,-291
7874,collaboration,-291
7875,collaboration,-1712
7876,collaboration,-100
7877,collaboration,-60
7878,collaboration,-2088
7879,collaboration,100
7880,collaboration,60
7881,collaboration,-60
7882,collaboration,-300
7883,collaboration,-300
7884,collaboration,-1532
7885,collaboration,-340
7886,collaboration,-244
7887,collaboration,-1712
7888,collaboration,-100
7889,collaboration,-60
7890,collaboration,-420
7891,collaboration,140
7892,collaboration,-1712
7893,collaboration,-60
7894,collaboration,-2088
7895,:,-291
7896,collaborations,-2068
7897,collaborations,140
7898,collaborations,140
7899,collaborations,-500
7900,collaborations,-3132
7901,collaborations,-100
7902,collaborations,-268
7903,collaborations,-44
7904,collaborations,-244
7905,collaborations,-220
7906,collaborations,-460
7907,collaborations,-400
7908,collaborations,-1934
7909,collaborations,0
7910,collaborations,0
7911,collaborations,1669
7912,collaborations,-300
7913,collaborations,-60
7914,collaborations,-20
7915,collaborations,-291
7916,collaborations,-100
7917,collaborations,-60
7918,collaborations,100
7919,collaborations,-220
7920,collaborations,-140
7921,collaborations,1669
7922,collaborations,-2068
7923,collaborations,-1932
7924,collaborations,-1934
7925,collaborations,0
7926,collaborations,100
7927,collaborations,60
7928,cetic,-300
7929,cetic,-300
7930,collaborative,-2068
7931,collaborative,-1932
7932,collaborative,-220
7933,collaborative,-220
7934,collaborative,140
7935,collaborative,-500
7936,collaborative,-3132
7937,collaborative,-100
7938,collaborative,-268
7939,collaborative,-244
7940,collaborative,-3266
7941,collaborative,-220
7942,collaborative,-734
7943,collaborative,-460
7944,collaborative,-460
7945,collaborative,-400
7946,collaborative,-140
7947,collaborative,-1934
7948,collaborative,0
7949,collaborative,1669
7950,collaborative,-300
7951,collaborative,-20
7952,collaborative,-20
7953,collaborative,-291
7954,collaborative,-60
7955,collaborative,-2088
7956,collaborative,100
7957,collaborative,60
7958,collaborative,-300
7959,collaborative,-300
7960,collaborative,-1532
7961,collaborative,-340
7962,collaborative,-140
7963,collaboratively,-460
7964,collaborator,-20
7965,collaborator,-2088
7966,collaborators,-2068
7967,collaborators,-1932
7968,collaborators,-340
7969,collaborators,-3132
7970,collaborators,40
7971,collaborators,-3266
7972,collaborators,-1934
7973,collaborators,-291
7974,collaborators,-100
7975,collaborators,-2088
7976,collaborators,60
7977,collaborators,-300
7978,collaborators,-300
7979,collaborators,-3266
7980,collaborators,1669
7981,collaborators,140
7982,collaborators,-340
7983,collaborators,-20
7984,colleagues,-220
7985,colleagues,-1712
7986,colleagues,-3266
7987,colleagues,-1932
7988,colleagues,0
7989,colleagues/students,-340
7990,collection,-3266
7991,collective,-2068
7992,collective,40
7993,collectively,-734
7994,collects,-220
7995,college,-1932
7996,college,-220
7997,college,-268
7998,college,-244
7999,college,-300
8000,college,-291
8001,college,-2088
8002,college,100
8003,college,-400
8004,college,-300
8005,college,-291
8006,college,100
8007,college-level,-2088
8008,colleges,-1932
8009,colleges,-100
8010,colleges,-291
8011,;,-460
8012,college-wide,-300
8013,college-wide,-291
8014,chu,100
8015,wo,-2088
8016,collisions,-3266
8017,co-located,-1712
8018,co-locating,40
8019,co-locating,-60
8020,co-location,-1712
8021,colour,60
8022,colour,60
8023,com,-500
8024,co-managed,40
8025,combination,-2068
8026,combination,140
8027,combination,-1712
8028,combinations,-420
8029,combinations,-420
8030,combined,-1932
8031,combined,-460
8032,combined,-60
8033,combined,100
8034,combining,-100
8035,come,100
8036,come,-1532
8037,come/epsrc,-340
8038,coming,-500
8039,coming,-44
8040,coming,-244
8041,coming,-400
8042,coming,-60
8043,commenced,0
8044,commenced,1669
8045,commended,40
8046,comment,-2088
8047,commented,-100
8048,commer-,-340
8049,commerce,-2068
8050,commerce,-460
8051,commerce,-400
8052,commerce,-220
8053,commerce,-100
8054,commerce,-460
8055,:,-2088
8056,commercial,-2068
8057,commercial,-1932
8058,commercial,-220
8059,commercial,-220
8060,commercial,-420
8061,commercial,140
8062,commercial,140
8063,commercial,-500
8064,commercial,-340
8065,commercial,-340
8066,commercial,-3132
8067,commercial,-100
8068,commercial,40
8069,commercial,40
8070,commercial,-268
8071,commercial,-268
8072,commercial,-44
8073,commercial,-244
8074,commercial,-3266
8075,commercial,-220
8076,commercial,-734
8077,commercial,-460
8078,commercial,-460
8079,commercial,-400
8080,commercial,-140
8081,commercial,0
8082,commercial,1669
8083,commercial,-300
8084,commercial,-60
8085,commercial,-20
8086,commercial,-291
8087,commercial,-1712
8088,commercial,-60
8089,commercial,-2088
8090,commercial,100
8091,commercial,60
8092,commercial,-60
8093,commercial,-300
8094,commercial,-300
8095,commercial,-300
8096,commercial,-300
8097,commercial,-1532
8098,commercial,40
8099,commercial,-3266
8100,commercial,-140
8101,commercialisation,-2068
8102,commercialisation,-1932
8103,commercialisation,-220
8104,commercialisation,140
8105,commercialisation,-340
8106,commercialisation,-3132
8107,commercialisation,-100
8108,commercialisation,40
8109,commercialisation,-44
8110,commercialisation,-220
8111,commercialisation,-220
8112,commercialisation,-734
8113,commercialisation,-734
8114,commercialisation,-460
8115,commercialisation,-140
8116,commercialisation,0
8117,commercialisation,1669
8118,commercialisation,-300
8119,commercialisation,-60
8120,commercialisation,-291
8121,commercialisation,-1712
8122,commercialisation,-2088
8123,commercialisation,-60
8124,commercialisation,-300
8125,commercialisation,-300
8126,commercialisation,-220
8127,commercialisation,40
8128,commercialisation,-734
8129,commercialisation,0
8130,commercialisation,-1532
8131,:,-3132
8132,;,-734
8133,;,60
